,dcID,RID
0,34003001000d0,1089827
1,34003001000d1,310870
2,34003001000d2,314404
3,34003001000d3,592067
4,34003001000d4,748090
5,34003002100d0,29208
6,34003003200d0,596280
7,34003003200d1,307802
8,34003003402d0,600420
9,34003003100d0,747987
10,34003003100d1,317358
11,34003003500d0,318184
12,34003003300d0,28771
13,34003003402d1,318327
14,34003003200d2,595273
15,34003003401d0,599269
16,34003003300d1,748239
17,34003003500d1,593332
18,34003003402d2,592413
19,34003003300d2,598274
20,34003003200d3,308944
21,34003003402d3,599181
22,34003004001d0,594660
23,34003004001d1,308203
24,34003004002d0,749152
25,34003005000d0,313057
26,34003006201d0,601305
27,34003006201d1,307071
28,34003006100d0,602188
29,34003006100d1,791547
30,34003006300d0,592544
31,34003006100d2,599433
32,34003006300d1,316672
33,34003006201d2,749913
34,34003006100d3,32307
35,34003006300d2,748218
36,34003006201d3,309102
37,34003006100d4,309110
38,34003006300d3,316672
39,34003007002d0,596854
40,34003007001d0,311633
41,34003007002d1,596835
42,34003007002d2,748177
43,34003007001d1,320281
44,34003007002d3,311642
45,34003055100d0,30760
46,34003008000d0,599623
47,34003008000d1,315651
48,34003008000d2,599623
49,34003009100d0,313544
50,34003010200d0,315451
51,34003010200d1,749374
52,34003010200d2,312857
53,34003010200d3,309792
54,34003010300d0,594986
55,34003010100d0,595245
56,34003010300d1,312789
57,34003010100d1,1090198
58,34003012001d0,592211
59,34003051100d0,599976
60,34003012001d1,791488
61,34003012001d2,748661
62,34003012001d3,306036
63,34003013001d0,29914
64,34003013001d1,312500
65,34003013002d0,31119
66,34003013001d2,31408
67,34003011300d0,596584
68,34003011300d1,748582
69,34003014000d0,311838
70,34003014000d1,600695
71,34003014000d2,321156
72,34003014000d3,601670
73,34003014000d4,917007
74,34003015100d0,592886
75,34003015200d0,307293
76,34003015500d0,596618
77,34003015400d0,599741
78,34003015400d1,600409
79,34003015400d2,313252
80,34003015100d1,309314
81,34003015200d1,597766
82,34003015400d3,592435
83,34003015400d4,312166
84,34003015400d5,307292
85,34003016000d0,30615
86,34003017400d0,601749
87,34003017400d1,595416
88,34003017500d0,313835
89,34003017500d1,791641
90,34003017400d2,593629
91,34003037201d0,317592
92,34003017300d0,319766
93,34003017400d3,315614
94,34003017500d2,601699
95,34003017500d3,749271
96,34003017100d0,602568
97,34003017500d4,318594
98,34003017100d1,602616
99,34003017400d4,312019
100,34003017400d5,597182
101,34003017400d6,597182
102,34003017100d2,593529
103,34003017100d3,593411
104,34003017300d1,317965
105,34003018100d0,307076
106,34003018200d0,598873
107,34003018100d1,601542
108,34003019303d0,311815
109,34003019303d1,592566
110,34003019304d0,748608
111,34003019303d2,307084
112,34003019102d0,595004
113,34003019306d0,791537
114,34003019303d3,915231
115,34003019305d0,601339
116,34003019103d0,596064
117,34003019103d1,600638
118,34003020200d0,32739
119,34003020100d0,915317
120,34003020100d1,598692
121,34003020200d1,30229
122,34003020100d2,167807
123,34003020200d2,916879
124,34003020100d3,593896
125,34003021200d0,320696
126,34003021400d0,749295
127,34003021400d1,598045
128,34003021600d0,320569
129,34003021500d0,593731
130,34003021100d0,320750
131,34031125100d0,642302
132,34003021100d1,598012
133,34003021300d0,599107
134,34003021200d1,596578
135,34003021300d1,317004
136,34003021200d2,749719
137,34003021400d2,597264
138,34003021500d1,593730
139,34003022100d0,313441
140,34003022200d0,601287
141,34003022200d1,596356
142,34003023302d0,30723
143,34003023501d0,600706
144,34003023100d0,32019
145,34003023502d0,598339
146,34003023502d1,748781
147,34003023100d1,313765
148,34003023100d2,595426
149,34003023100d3,601709
150,34003023100d4,317548
151,34003023602d0,309982
152,34003023501d1,319365
153,34003023100d5,311942
154,34003023602d1,594088
155,34003023402d0,595384
156,34003023602d2,595438
157,34003023302d1,916855
