,scolID,RID
0,09001090300s1,564439
1,09001100200s1,744949
2,09001100200s2,1049693
3,09001210900s1,561810
4,09001210900s2,225129
5,09001050300s1,1210497
6,09001050300s4,1210497
7,09001205300s1,226359
8,09001205300s3,135187
9,09001100100s0,560014
10,09001100100s2,798
11,09001021100s0,854464
12,09001050400s1,1040731
13,09001105100s2,229954
14,09001110202s0,230725
15,09001090500s0,5052
16,09001090500s1,231001
17,09001230300s1,134740
18,09001230502s2,227593
19,09001020400s0,557272
20,09001030300s2,136493
21,09001030300s3,238171
22,09001020700s0,135877
23,09001060700s0,1042113
24,09001060300s1,564456
25,09001210100s0,873751
26,09001200301s0,219790
27,09001200302s0,137881
28,09001230200s1,1040350
29,09001230100s2,134786
30,09001110500s0,130919
31,09001071400s0,744124
32,09001060400s1,134938
33,09001035100s0,562510
34,09001061600s0,562181
35,09003471300s3,250620
36,09003520302s0,567545
37,09003476200s0,8350
38,09003473100s2,10590
39,09003405900s1,257350
40,09003520202s0,242505
41,09003514400s3,571302
42,09003514200s0,564758
43,09003405200s4,7481
44,09003430100s1,1206407
45,09005362101s2,218762
46,09005362101s4,263148
47,09005342100s2,888483
48,09005267100s3,147671
49,09005267100s4,263064
50,09005300400s2,888706
51,09007670100s0,893371
52,09007570100s0,576803
53,09007620100s2,266720
54,09009167100s0,840860
55,09009167100s2,582047
56,09009167100s3,20981
57,09009175200s1,275629
58,09009160200s0,285533
59,09009160200s1,1071565
60,09009141300s0,578510
61,09009141300s3,578511
62,09009140300s1,274743
63,09009150200s0,23411
64,09009351200s0,577693
65,09009165900s1,896768
66,09009160100s2,21972
67,09009141800s2,747507
68,09009194201s4,901135
69,09009194201s7,585144
70,09009180200s3,155391
71,09009194100s1,283690
72,09011696500s0,904863
73,09011705400s0,159215
74,09011711100s0,291945
75,09011707100s2,24264
76,09013890100s3,163984
77,09013538201s1,880123
78,09013881500s1,298822
79,09015901100s2,913891
80,09015903100s1,590476
81,09015905100s1,304036
82,09015900200s2,590476
83,34003030300s0,28434
84,34003015500s1,311369
85,34003042400s4,28812
86,34003017500s1,593611
87,34003039300s2,30889
88,34003039300s3,591758
89,34003035200s0,593446
90,34003039200s0,317929
91,34003023402s0,597069
92,34003044202s0,306995
93,34003003402s0,601430
94,34003047400s1,594991
95,34003061200s0,602649
96,34003048100s1,602452
97,34003020200s0,312298
98,34003034000s1,314714
99,34003047300s0,310929
100,34003047100s0,309614
101,34003006100s0,602188
102,34003052100s0,31986
103,34003032102s0,168161
104,34003042100s2,748095
105,34003022100s0,30625
106,34003042301s0,595082
107,34003059200s2,321063
108,34003051100s0,592044
109,34003051100s1,601962
110,34003052200s0,915781
111,34003041200s2,749228
112,34003020100s0,28446
113,34003020100s1,915319
114,34003038200s0,1090988
115,34013016200s1,602698
116,34013008100s0,1227217
117,34013020100s2,604258
118,34013012600s1,326346
119,34013014800s0,328600
120,34013012300s0,917717
121,34013004500s0,605730
122,34013002100s0,918076
123,34013008000s0,34577
124,34013020600s1,327248
125,34013021601s4,33593
126,34013021200s1,326407
127,34013014500s0,604318
128,34013011500s0,608370
129,34013017900s0,1093064
