Id,HmID,WrkID,Sex,Age,Grp
36005037504i771,36005037504h54,36061000900w1894,f,85,inGrp
36005021601i505,36005021601h464,36061008400w976,f,32,inGrp
36005021601i227,36005021601h464,36005000400d0,m,2,inGrp
36005021601i3411,36005021601h464,36061012500w2173,f,34,inGrp
36005021601i225,36005021601h464,36005001600s10,m,16,inGrp
36005021601i3757,36005021601h464,36005022000s0,f,13,inGrp
36081043702i4843,36081043702h2082,36047117602w11,f,63,inGrp
36081043702i3759,36081043702h2082,36081053500w105,f,84,inGrp
36081043702i3780,36081043702h2082,36061002100w1222,f,70,inGrp
36081043702i5289,36081043702h2082,36081043702h2082,f,34,inGrp
36081152901i295,36081152901h36,36081152901h36,f,79,inGrp
36119005701i2213,36119005701h1742,36005031400s0,f,7,inGrp
36119005701i1721,36119005701h1742,36061009200w2624,m,45,inGrp
36119005701i2387,36119005701h1742,36119005701h1742,f,40,inGrp
36119005300i916,36119005300h782,36119005300h782,m,46,inGrp
36119005300i1535,36119005300h782,36005034800s0,m,7,inGrp
36119005300i4672,36119005300h782,36005031000d0,f,3,inGrp
36119005300i4973,36119005300h782,36119005300h782,m,20,inGrp
36119005300i1357,36119005300h782,36047000900w12302,f,42,inGrp
36061013600i11915,36061013600h7774,36061013600h7774,f,82,inGrp
36061013600i12002,36061013600h7774,36061013600h7774,m,80,inGrp
36047091600i1654,36047091600h702,36081080900s3,f,17,inGrp
36047091600i1658,36047091600h702,36081080900s3,f,15,inGrp
36047091600i1648,36047091600h702,36081047900s0,f,13,inGrp
36047091600i1337,36047091600h702,36047091600h702,f,53,inGrp
36047091600i4009,36047091600h702,36047091600h702,f,60,inGrp
36047091600i3410,36047091600h702,36047091600h702,m,1,inGrp
36081032000i1136,36081032000h645,36081032000s0,f,13,inGrp
36081032000i510,36081032000h645,36081032000h645,m,34,inGrp
36081032000i1259,36081032000h645,36081032000h645,f,22,inGrp
36047053500i882,36047053500h405,36047053500h405,f,42,inGrp
36047053500i750,36047053500h405,36047052500d0,f,3,inGrp
36047053500i4313,36047053500h405,36047053500s2,f,5,inGrp
36047053500i1007,36047053500h405,36047123700w126,m,48,inGrp
36081037700i4122,36081037700h259,36061007600w1535,m,25,inGrp
36081037700i2472,36081037700h259,36081037700h259,f,27,inGrp
36081037700i3372,36081037700h259,36081037700h259,f,6,inGrp
36081037700i583,36081037700h259,36081037700h259,f,35,inGrp
36047038600i327,36047038600h297,36061003100w643,f,36,inGrp
36047038600i172,36047038600h297,36047061004d0,m,2,inGrp
36047038600i185,36047038600h297,36047061004d0,f,2,inGrp
36047038600i2696,36047038600h297,36047039800w10,f,44,inGrp
34031175302i126,34031175302h96,34031175302h96,m,54,inGrp
36047112200i99,36047112200h5,36047112200h5,f,84,inGrp
36047035200i282,36047035200h297,36061000900w1925,m,79,inGrp
36061029100i3797,36061029100h3045,36061007600w1480,m,29,inGrp
36061029100i10355,36061029100h3045,36061029100h3045,f,68,inGrp
36061029100i7625,36061029100h3045,36061007200w548,f,51,inGrp
36061029100i9143,36061029100h3045,36061029100h3045,m,21,inGrp
36061029100i5802,36061029100h3045,36061029100h3045,f,34,inGrp
36061029100i10890,36061029100h3045,36061028300s2,f,5,inGrp
36005017901i3301,36005017901h336,36061009100w63,m,19,inGrp
36005017901i470,36005017901h336,36005017901h336,f,48,inGrp
36005017901i170,36005017901h336,36005017901h336,f,13,inGrp
36061025300i4382,36061025300h2439,36061025300h2439,f,21,inGrp
36061025300i5656,36061025300h2439,36061026300s1,m,11,inGrp
36061025300i5654,36061025300h2439,36061026300s1,f,9,inGrp
36061025300i7520,36061025300h2439,36061020300w592,f,46,inGrp
36061025300i2342,36061025300h2439,36061025300h2439,m,21,inGrp
36005009200i1834,36005009200h1381,36005009200h1381,m,78,inGrp
36005009200i3932,36005009200h1381,36005009200h1381,f,35,inGrp
36005009200i2500,36005009200h1381,36005028600w502,f,66,inGrp
36005009200i3696,36005009200h1381,36005009200h1381,m,63,inGrp
36005009200i4696,36005009200h1381,36005000400s0,f,9,inGrp
34013001100i157,34013001100h65,34013001100h65,f,20,inGrp
34013009100i620,34013009100h268,34013009100h268,f,44,inGrp
34013009100i649,34013009100h268,34013022900s3,m,13,inGrp
34013009100i2481,34013009100h268,34013009100h268,f,7,inGrp
34017016500i447,34017016500h446,34017001202w38,f,28,inGrp
34017016500i176,34017016500h446,34017019900d1,f,2,inGrp
34013022700i1229,34013022700h1066,34013022700h1066,m,61,inGrp
34013022700i1838,34013022700h1066,34013022700h1066,f,59,inGrp
34013022700i2467,34013022700h1066,34013022700h1066,f,24,inGrp
34013022700i1956,34013022700h1066,34013022700h1066,f,15,inGrp
34013022700i2196,34013022700h1066,34013022700h1066,m,22,inGrp
34013022700i2796,34013022700h1066,34013022700h1066,f,21,inGrp
34013022700i1971,34013022700h1066,34013022700h1066,f,17,inGrp
36119005901i2597,36119005901h1183,36119006600s1,m,14,inGrp
36119005901i1521,36119005901h1183,36119005901h1183,m,53,inGrp
36119005901i2591,36119005901h1183,36119006600s1,m,17,inGrp
36119005901i1723,36119005901h1183,36119005901h1183,f,54,inGrp
36119005901i3812,36119005901h1183,36119005901h1183,f,78,inGrp
34017014501i2551,34017014501h1160,34003004001s2,m,5,inGrp
34017014501i4766,34017014501h1160,34017014501h1160,m,19,inGrp
34017014501i2529,34017014501h1160,34003004001s2,f,6,inGrp
34017014501i1428,34017014501h1160,34017020000w116,m,57,inGrp
34017014501i1983,34017014501h1160,34017014501h1160,f,48,inGrp
36081096400i189,36081096400h270,36005041500s0,f,8,inGrp
36081096400i393,36081096400h270,36081077907w50,f,43,inGrp
36081096400i3520,36081096400h270,36059411000w339,f,47,inGrp
36081096400i188,36081096400h270,36005041500s0,m,10,inGrp
34013013300i2106,34013013300h1266,34013013300h1266,m,49,inGrp
34013013300i2102,34013013300h1266,34013013300h1266,m,49,inGrp
34013013300i2108,34013013300h1266,34013007700w61,m,51,inGrp
34013018200i904,34013018200h779,34013018200h779,f,40,inGrp
