,id,age,sex,hhold,htype,wp,long,lat,RID
1048023,36005037504i771,85,f,36005037504h54,10,36061000900w1894,-73.89317799895709,40.8502669353956,66224
573234,36005021601i505,32,f,36005021601h464,5,36061008400w976,-73.8642843974018,40.83642254737789,762128
573235,36005021601i227,2,m,36005021601h464,5,36005000400d0,-73.8642843974018,40.83642254737789,762128
573236,36005021601i3411,34,f,36005021601h464,5,36061012500w2173,-73.8642843974018,40.83642254737789,762128
573237,36005021601i225,16,m,36005021601h464,5,36005001600s10,-73.8642843974018,40.83642254737789,762128
573238,36005021601i3757,13,f,36005021601h464,5,36005022000s0,-73.8642843974018,40.83642254737789,762128
6632469,36081043702i4843,63,f,36081043702h2082,6,36047117602w11,-73.85463518197079,40.7396295238788,697545
6632470,36081043702i3759,84,f,36081043702h2082,6,36081053500w105,-73.85463518197079,40.7396295238788,697545
6632471,36081043702i3780,70,f,36081043702h2082,6,36061002100w1222,-73.85463518197079,40.7396295238788,697545
6632472,36081043702i5289,34,f,36081043702h2082,6,36081043702h2082,-73.85463518197079,40.7396295238788,697545
7875530,36081152901i295,79,f,36081152901h36,10,36081152901h36,-73.7352897918887,40.7560215690205,691893
8591255,36119005701i2213,7,f,36119005701h1742,1,36005031400s0,-73.79036277580781,40.8878276604663,1005055
8591256,36119005701i1721,45,m,36119005701h1742,1,36061009200w2624,-73.79036277580781,40.8878276604663,1005055
8591257,36119005701i2387,40,f,36119005701h1742,1,36119005701h1742,-73.79036277580781,40.8878276604663,1005055
8581531,36119005300i916,46,m,36119005300h782,1,36119005300h782,-73.80548362255891,40.9120672325939,739342
8581532,36119005300i1535,7,m,36119005300h782,1,36005034800s0,-73.80548362255891,40.9120672325939,739342
8581533,36119005300i4672,3,f,36119005300h782,1,36005031000d0,-73.80548362255891,40.9120672325939,739342
8581534,36119005300i4973,20,m,36119005300h782,1,36119981000w227,-73.80548362255891,40.9120672325939,739342
8581535,36119005300i1357,42,f,36119005300h782,1,36047000900w12302,-73.80548362255891,40.9120672325939,739342
4800707,36061013600i11915,82,f,36061013600h7774,0,36061013600h7774,-73.9488944966341,40.774953528988206,774809
4800708,36061013600i12002,80,m,36061013600h7774,0,36061013600h7774,-73.9488944966341,40.774953528988206,774809
3561711,36047091600i1654,17,f,36047091600h702,5,36081080900s3,-73.9097321753396,40.661927831848104,664584
3561712,36047091600i1658,15,f,36047091600h702,5,36081080900s3,-73.9097321753396,40.661927831848104,664584
3561713,36047091600i1648,13,f,36047091600h702,5,36081047900s0,-73.9097321753396,40.661927831848104,664584
3561714,36047091600i1337,53,f,36047091600h702,5,36047091600h702,-73.9097321753396,40.661927831848104,664584
3561715,36047091600i4009,60,f,36047091600h702,5,36047091600h702,-73.9097321753396,40.661927831848104,664584
3561716,36047091600i3410,1,m,36047091600h702,5,36047091600h702,-73.9097321753396,40.661927831848104,664584
6439903,36081032000i1136,13,f,36081032000h645,1,36081032000s0,-73.7674693615165,40.6602749754759,700082
6439904,36081032000i510,34,m,36081032000h645,1,36047001100w1884,-73.7674693615165,40.6602749754759,700082
6439905,36081032000i1259,22,f,36081032000h645,1,36103158508w30,-73.7674693615165,40.6602749754759,700082
2967418,36047053500i882,42,f,36047053500h405,1,36047053500h405,-73.9627994928792,40.7076896459281,794995
2967419,36047053500i750,3,f,36047053500h405,1,36047052500d0,-73.9627994928792,40.7076896459281,794995
2967420,36047053500i4313,5,f,36047053500h405,1,36047053500s2,-73.9627994928792,40.7076896459281,794995
2967421,36047053500i1007,48,m,36047053500h405,1,36047123700w126,-73.9627994928792,40.7076896459281,794995
6533119,36081037700i4122,25,m,36081037700h259,4,36061007600w1535,-73.8671943169401,40.755966259721106,690204
6533120,36081037700i2472,27,f,36081037700h259,4,36081037700h259,-73.8671943169401,40.755966259721106,690204
6533121,36081037700i3372,6,f,36081037700h259,4,36103135104s3,-73.8671943169401,40.755966259721106,690204
6533122,36081037700i583,35,f,36081037700h259,4,36081037700h259,-73.8671943169401,40.755966259721106,690204
2482949,36047038600i327,36,f,36047038600h297,5,36061003100w643,-73.9763980094323,40.59333177850021,425820
2482950,36047038600i172,2,m,36047038600h297,5,36047061004d0,-73.9763980094323,40.59333177850021,425820
2482951,36047038600i185,2,f,36047038600h297,5,36047061004d0,-73.9763980094323,40.59333177850021,425820
2482952,36047038600i2696,44,f,36047038600h297,5,36047039800w10,-73.9763980094323,40.59333177850021,425820
10879813,34031175302i126,54,m,34031175302h96,7,34031175302h96,-74.1228209817116,40.870897988756205,638679
3720877,36047112200i99,84,f,36047112200h5,10,36047112200h5,-73.88649721996079,40.6631491026071,664594
